Timestamp,Channel_1,Channel_2,Channel_3,Channel_4
573854.9674163335,-968.26171875,-67.3828125,291.015625,-464.84375,25.390625
573854.971166653,314.453125,449.21875,406.25,317.3828125,196.2890625
573854.9749169725,-225.5859375,352.5390625,308.10546875,-178.22265625,120.1171875
573854.9786672919,520.5078125,-351.5625,129.8828125,-1000.0,-165.52734375
573854.9824176114,-914.0625,-380.859375,158.69140625,-679.6875,-646.484375
573854.9861679309,425.29296875,-70.3125,277.83203125,255.37109375,-507.32421875
573854.9899182504,-457.51953125,-278.80859375,178.7109375,113.28125,-116.69921875
573854.9936685698,56.640625,-820.80078125,-58.59375,-812.5,-214.84375
573854.9974188893,976.07421875,-290.0390625,179.6875,-866.69921875,-291.015625
573855.0011692088,579.58984375,497.55859375,423.33984375,76.171875,-94.23828125
573855.0049195283,-523.92578125,158.69140625,232.421875,333.0078125,136.23046875
573855.0086698477,-414.55078125,-176.7578125,117.67578125,-585.9375,-83.49609375
573855.0192669323,675.78125,53.22265625,238.28125,-984.375,-465.33203125
573855.0235342744,691.40625,382.8125,360.3515625,-135.25390625,-125.9765625
573855.0278016166,-479.4921875,42.96875,278.80859375,452.63671875,77.1484375
573855.0320689587,-809.08203125,-118.1640625,249.51171875,-300.29296875,-63.4765625
573855.0363363009,243.65234375,123.53515625,250.48828125,-1000.0,-233.3984375
573855.040603643,699.70703125,27.34375,223.6328125,-378.41796875,-231.4453125
573855.0448709852,-316.89453125,-359.86328125,197.265625,481.4453125,373.53515625
573855.0491383274,-1000.0,-633.30078125,115.234375,43.9453125,393.5546875
573855.0534056695,-221.19140625,-412.109375,144.04296875,-916.50390625,-433.59375
573855.0576730117,608.3984375,-458.49609375,96.6796875,-626.46484375,-706.0546875
573855.0619403538,-103.515625,-345.703125,242.67578125,331.54296875,-261.23046875
573855.066207696,-1000.0,59.08203125,364.2578125,233.88671875,80.56640625
573855.0704750381,-602.5390625,280.2734375,298.33984375,-741.2109375,-176.7578125
573855.0747423803,450.1953125,141.6015625,235.3515625,-833.49609375,-210.44921875
573855.0790097225,133.7890625,46.875,259.765625,137.20703125,-62.5
573855.0832770646,-916.50390625,246.58203125,343.26171875,420.41015625,-51.7578125
573855.0875444068,-853.02734375,96.6796875,230.95703125,-489.74609375,-363.76953125
573855.0918117489,184.08203125,-472.16796875,70.80078125,-960.9375,-528.80859375
573855.0960790911,303.7109375,-467.28515625,191.40625,-156.73828125,56.15234375
573855.1003464332,-704.58984375,-3.90625,332.51953125,468.26171875,226.07421875
573855.1153367882,-1000.0,276.85546875,351.5625,-207.51953125,-57.12890625
573855.1191423011,-167.96875,-235.3515625,28.3203125,-946.2890625,-291.9921875
573855.1229478141,355.46875,-430.6640625,42.96875,-408.69140625,-239.2578125
573855.126753327,-500.9765625,231.4453125,367.1875,426.26953125,-195.3125
573855.1305588399,-1000.0,211.9140625,279.78515625,91.796875,-372.55859375
573855.1343643528,-507.32421875,-250.9765625,149.90234375,-827.63671875,-217.7734375
573855.1381698657,298.33984375,-269.53125,138.671875,-663.0859375,-168.45703125
573855.1419753786,-289.55078125,154.296875,286.62109375,295.41015625,-394.53125
573855.1457808915,-1000.0,193.84765625,309.08203125,328.61328125,-245.1171875
573855.1495864044,-787.109375,-101.5625,230.95703125,-644.53125,-40.52734375
573855.1533919174,106.4453125,-288.57421875,154.296875,-870.60546875,-182.6171875
573855.1571974303,-82.03125,-84.47265625,219.7265625,64.453125,-288.57421875
573855.1610029432,-966.796875,-172.36328125,219.7265625,479.00390625,-290.52734375
573855.1648084561,-971.6796875,-340.8203125,239.2578125,-373.046875,-47.36328125
573855.168613969,-104.4921875,-71.77734375,271.97265625,-947.265625,-120.1171875
573855.1724194819,150.87890625,281.25,302.24609375,-193.84765625,-257.32421875
573855.1762249948,-729.98046875,429.19921875,387.20703125,521.97265625,4.39453125
573855.1800305077,-1000.0,-382.8125,61.03515625,-22.4609375,255.37109375
573855.1838360206,-329.1015625,-779.296875,-43.45703125,-871.09375,20.99609375
573855.1876415336,320.3125,266.6015625,340.33203125,-465.8203125,-171.38671875
573855.191446069,-423.828125,496.58203125,363.28125,480.95703125,210.9375
573855.1952134408,-1000.0,23.92578125,244.62890625,236.81640625,241.2109375
573855.1989808126,-568.359375,-328.61328125,140.13671875,-738.76953125,-266.11328125
573855.2027481843,323.2421875,-103.02734375,231.4453125,-684.5703125,-413.0859375
573855.2065155561,-166.015625,231.4453125,314.94140625,305.17578125,141.6015625
573855.2102829278,-1000.0,94.7265625,262.6953125,449.70703125,333.984375
573855.2140502996,-821.2890625,-34.1796875,236.328125,-524.4140625,-61.5234375
573855.2178176714,111.328125,74.21875,266.11328125,-860.3515625,-396.484375
573855.2215850431,8.7890625,15.625,237.79296875,57.12890625,18.5546875
573855.2253524149,-906.73828125,-477.5390625,186.03515625,546.875,446.77734375
573855.2291197866,-1000.0,-91.30859375,288.0859375,-316.40625,34.66796875
573855.2328871584,-213.8671875,139.16015625,218.26171875,-963.8671875,-392.578125
573855.2366545302,70.3125,-49.8046875,240.72265625,-267.578125,-382.32421875
573855.2404219019,-752.9296875,-31.25,300.78125,494.62890625,-74.21875
573855.2441892737,-1000.0,-39.0625,253.90625,-39.0625,24.90234375
573855.2479566454,-527.34375,-152.34375,139.6484375,-926.26953125,-426.7578125
573855.2517240172,47.8515625,-335.9375,151.3671875,-566.40625,-208.984375
573855.255491389,-593.75,-27.34375,345.703125,340.8203125,273.4375
573855.2592587607,-1000.0,337.890625,355.95703125,143.06640625,42.48046875
573855.2630261325,-794.43359375,69.82421875,196.77734375,-815.4296875,-318.359375
573855.2824074881,-214.84375,-716.796875,-39.0625,-821.2890625,-152.83203125
573855.2874064345,-571.77734375,-845.21484375,80.56640625,92.28515625,101.5625
573855.292405381,-1000.0,81.54296875,377.44140625,240.72265625,-46.875
573855.2974043274,-994.140625,114.74609375,258.30078125,-632.32421875,-97.16796875
573855.3024032739,-530.76171875,-120.60546875,187.98828125,-1000.0,-127.9296875
573855.3074022203,-564.94140625,35.15625,257.32421875,-223.6328125,-37.109375
573855.3124011668,-1000.0,-142.08984375,251.953125,333.0078125,-175.78125
573855.3174001132,-1000.0,-607.421875,0.9765625,-382.8125,-367.1875
573855.3223990597,-719.7265625,-657.71484375,-11.23046875,-1000.0,-348.14453125
573855.3273980061,-528.3203125,117.67578125,331.54296875,-538.0859375,-95.703125
573855.3323969526,-942.3828125,430.6640625,366.2109375,292.48046875,36.62109375
573855.337395899,-1000.0,-283.69140625,98.6328125,-113.76953125,-208.984375
573855.3423948454,-789.55078125,-498.046875,65.4296875,-1000.0,-327.1484375
573855.3473937919,-431.15234375,89.35546875,247.0703125,-724.12109375,-221.6796875
573855.3523927383,-797.36328125,110.83984375,270.99609375,236.81640625,-206.54296875
573855.3573916848,-1000.0,-536.62109375,27.34375,146.97265625,-104.00390625
573855.3623906312,-903.80859375,-858.3984375,-108.88671875,-773.92578125,-248.53515625
573855.3673895777,-393.5546875,-522.4609375,80.56640625,-913.0859375,-599.609375
573855.3723885241,-588.8671875,-216.30859375,218.75,-6.34765625,-261.23046875
573855.3773874706,-1000.0,-156.73828125,278.3203125,326.171875,261.23046875
573855.3402453241,-1000.0,-332.03125,176.7578125,-545.8984375,101.07421875
573855.3438781474,-514.6484375,-75.1953125,226.5625,-1000.0,-201.66015625
573855.3475109708,-481.93359375,337.40234375,321.2890625,-211.9140625,-147.4609375
573855.3511437941,-998.53515625,-256.8359375,154.296875,479.98046875,332.03125
573855.3547766175,-1000.0,-692.87109375,83.0078125,-226.07421875,208.49609375
573855.3584094408,-719.7265625,-194.82421875,161.62109375,-1000.0,-662.59765625
573855.3620422642,-492.67578125,-17.08984375,208.0078125,-480.95703125,-447.75390625
573855.3656750876,-926.7578125,97.65625,301.26953125,396.97265625,-55.17578125
573855.3693079109,-1000.0,158.69140625,265.625,41.50390625,-149.4140625
